Đường/Phố,Phường/Xã,Quận/Huyện,Phân loại quận,Loại tin,Mã tin,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng ban công,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Loại hình,Nhóm 1-Trường học,Nhóm 1- Chợ/Siêu thị,Nhóm 1-Bệnh viện,Công viên,Loại ngõ,Vỉa hè,Bán gấp,Sân phơi,Nhà thoáng,Gần hồ,An ninh,Hiện đại,Chỗ để xe,Thang máy,Lô góc,Hỗ trợ vay
Hàng Chuối,Ngô Thì Nhậm,Hai Bà Trưng,Nội thành,Tin thường,26184077,260.0,Thỏa thuận,8.0,,,,,,,Khác,Khác,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
21B,Kim Bài,Thanh Oai,Ngoại thành,Tin thường,38818076,90.0,Thỏa thuận,5.0,40.0,Tây - Nam,Đông - Bắc,4.0,4.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0
Cự Lộc,Thượng Đình,Thanh Xuân,Nội thành,Tin thường,38830003,147.2,Thỏa thuận,7.2,20.0,,,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Tả Thanh Oai,Tả Thanh Oai,Thanh Trì,Ngoại thành,Tin thường,39176778,70.0,Thỏa thuận,4.0,9.0,Tây - Bắc,Tây - Bắc,3.0,5.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Xuân Thủy,Dịch Vọng Hậu,Cầu Giấy,Nội thành,Tin thường,38814428,400.0,Thỏa thuận,20.0,,,,10.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,Rộng,0,0,0,0,0,0,1,1,1,0,0
Đông Các,Ô Chợ Dừa,Đống Đa,Nội thành,Tin thường,39145023,107.0,Thỏa thuận,3.5,,,,3.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Vũ Trọng Phụng,Nhân Chính,Thanh Xuân,Nội thành,Tin thường,39162085,130.0,Thỏa thuận,8.0,7.0,,,8.0,4.0,8.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,1,0,0,0,1,0,1,0,0
Đại La,Trương Định,Hai Bà Trưng,Nội thành,Tin thường,39119008,65.0,Thỏa thuận,4.2,12.0,,,2.0,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Phan Chu Trinh,,Hoàn Kiếm,Nội thành,Tin thường,33874614,220.0,Thỏa thuận,9.0,,,,7.0,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0
Nguyễn Sơn Hà,Văn Quán,Hà Đông,Nội thành,Tin thường,39172374,100.0,Thỏa thuận,5.0,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Hoàng Công,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39170022,60.0,Thỏa thuận,,,,,4.0,6.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Thạch Bàn,Thạch Bàn,Long Biên,Nội thành,Tin thường,39227923,95.0,Thỏa thuận,4.5,,,,,,,Khác,Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
23B,Nam Hồng,Đông Anh,Ngoại thành,Tin thường,39069404,165.0,Thỏa thuận,8.3,,,,3.0,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Nguyễn Chí Thanh,Láng Hạ,Đống Đa,Nội thành,Tin thường,38228943,40.0,Thỏa thuận,,,,,5.0,6.0,5.0,Khác,Khác,Mặt phố,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0
Phạm Văn Đồng,Cổ Nhuế 1,Bắc Từ Liêm,Nội thành,Tin thường,39143112,150.0,Thỏa thuận,23.0,,,,7.0,,7.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,1,0,0,,0,0,0,0,0,0,1,0,1,1,0
Hoàng Hoa Thám,Đội Cấn,Ba Đình,Nội thành,Tin thường,38976676,450.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0
Tây Sơn,Quang Trung,Đống Đa,Nội thành,Tin thường,39203006,145.0,Thỏa thuận,5.0,40.0,,,4.0,4.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0
Nguyễn Khuyến,Văn Quán,Hà Đông,Nội thành,Tin thường,39064553,108.0,Thỏa thuận,,,,,4.0,6.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0
Trần Khát Chân,Đồng Nhân,Hai Bà Trưng,Nội thành,Tin thường,38909107,120.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,1
Khương Đình,Hạ Đình,Thanh Xuân,Nội thành,Tin thường,39179511,110.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,1,0,0,0,,0,1,0,0,0,0,0,0,1,0,1
,An Khánh,Hoài Đức,Ngoại thành,Tin thường,33209374,2200.0,Thỏa thuận,,,,,4.0,,,Khác,Khác,Mặt phố,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Yên Phụ,Yên Phụ,Tây Hồ,Nội thành,Tin thường,39117374,230.0,Thỏa thuận,,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,1,1,0,0,,0,0,0,1,1,0,0,0,0,0,0
Trường Chinh,Khương Trung,Thanh Xuân,Nội thành,Tin thường,39149799,175.0,Thỏa thuận,6.8,,,,3.0,4.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Sài Đồng,Sài Đồng,Long Biên,Nội thành,Tin thường,39038511,140.0,Thỏa thuận,,13.0,,,1.0,1.0,1.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,Nhỏ,1,0,0,0,0,0,0,0,0,0,0
Chùa Bộc,Quang Trung,Đống Đa,Nội thành,Tin thường,39158143,100.0,Thỏa thuận,8.5,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Lê Đức Thọ,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,38135599,1600.0,Thỏa thuận,,,,,,,,Khác,Khác,Mặt phố,1,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
Lý Thái Tổ,Lý Thái Tổ,Hoàn Kiếm,Nội thành,Tin thường,37985124,345.0,Thỏa thuận,,,,,3.0,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,0
Phạm Văn Đồng,Mai Dịch,Cầu Giấy,Nội thành,Tin thường,38989244,170.0,Thỏa thuận,11.0,,,Đông - Nam,7.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0
Nguyễn Ngọc Nại,Khương Mai,Thanh Xuân,Nội thành,Tin thường,39143133,195.0,Thỏa thuận,9.0,16.0,,,10.0,9.0,9.0,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
,Quan Hoa,Cầu Giấy,Nội thành,Tin thường,38931574,55.0,Thỏa thuận,4.5,,,,6.0,3.0,5.0,Khác,Khác,Mặt phố,0,0,0,0,Nhỏ,1,1,1,0,1,1,0,1,1,1,0
,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,39203593,45.0,Thỏa thuận,4.8,,,,5.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,1,1,0,0,0,1,0,1,0
Mễ Trì Hạ,Mễ Trì,Nam Từ Liêm,Nội thành,Tin thường,39178821,60.0,Thỏa thuận,4.0,9.0,Đông,Đông,5.0,6.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,1,0,0,0,Nhỏ,1,0,0,0,0,0,0,0,0,0,0
Nguyễn Hoàng,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,39219202,100.0,Thỏa thuận,6.5,,,,9.0,,,Khác,Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Hàm Nghi,Mỹ Đình 2,Nam Từ Liêm,Nội thành,Tin thường,38214671,190.0,Thỏa thuận,,,,,5.0,6.0,5.0,Khác,Khác,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,0
Bùi Thị Xuân,Bùi Thị Xuân,Hai Bà Trưng,Nội thành,Tin thường,37671352,133.0,Thỏa thuận,7.08,,,,11.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
Tuệ Tĩnh,Bùi Thị Xuân,Hai Bà Trưng,Nội thành,Tin thường,38312084,60.0,Thỏa thuận,7.1,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Trúc Bạch,Trúc Bạch,Ba Đình,Nội thành,Tin thường,38019805,130.0,Thỏa thuận,7.2,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,1,0,0,1,0,0,0
Bát Đàn,Cửa Đông,Hoàn Kiếm,Nội thành,Tin thường,28799253,99.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Nguyễn Văn Cừ,Ngọc Lâm,Long Biên,Nội thành,Tin thường,38845600,131.0,Thỏa thuận,8.0,42.0,,,4.0,,,Khác,Khác,Mặt phố,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,0
Nguyễn Văn Lộc,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39175863,55.0,Thỏa thuận,,,,,6.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,1,0,1,0,0,0,1,0
Nguyễn Xiển,Tân Triều,Thanh Trì,Ngoại thành,Tin thường,37988329,115.0,Thỏa thuận,6.0,30.0,,,6.0,8.0,8.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
Nguyễn Mậu Tài,Trâu Quỳ,Gia Lâm,Ngoại thành,Tin thường,39110055,80.0,Thỏa thuận,5.0,22.0,Tây - Nam,Tây - Nam,5.0,6.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất thô,Mặt phố,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0
Bùi Thị Xuân,Bùi Thị Xuân,Hai Bà Trưng,Nội thành,Tin thường,39211646,105.0,Thỏa thuận,4.8,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Cao Lỗ,Đông Anh,Đông Anh,Ngoại thành,Tin thường,38767824,62.0,Thỏa thuận,4.0,20.0,,,4.0,4.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,1,0,0,,0,0,0,1,0,0,0,0,0,1,0
Phan Chu Trinh,Phan Chu Trinh,Hoàn Kiếm,Nội thành,Tin thường,38494050,220.0,Thỏa thuận,8.5,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Hoàng Ngân,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,39138001,220.0,Thỏa thuận,9.5,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
Đê Quai,Tứ Liên,Tây Hồ,Nội thành,Tin thường,39136310,115.0,Thỏa thuận,,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,1,0,1,,0,0,0,0,1,0,0,0,0,0,0
Xuân La,Xuân La,Tây Hồ,Nội thành,Tin thường,38285170,120.0,Thỏa thuận,5.0,30.0,,,6.0,5.0,6.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,1
Mỗ Lao,Mỗ Lao,Hà Đông,Nội thành,Tin thường,39141385,101.0,Thỏa thuận,11.0,20.0,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,0
Cầu Diễn,Phú Diễn,Bắc Từ Liêm,Nội thành,Tin thường,38890518,43.0,Thỏa thuận,3.8,,,,5.0,,,Khác,Khác,Mặt phố,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Vạn Phúc,Kim Mã,Ba Đình,Nội thành,Tin thường,38686296,86.0,Thỏa thuận,4.5,,,,,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Dương Lâm,Văn Quán,Hà Đông,Nội thành,Tin thường,38840529,105.0,Thỏa thuận,,,,,4.0,,,Khác,Full nội thất,Mặt phố,1,1,0,0,,1,1,0,0,0,0,0,0,0,0,0
Huế,Hàng Bài,Hoàn Kiếm,Nội thành,Tin thường,33624008,375.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
Cổ Linh,Thạch Bàn,Long Biên,Nội thành,Tin thường,36893639,110.0,Thỏa thuận,5.5,10.0,,,8.0,20.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,Nhỏ,1,0,0,0,0,0,0,0,0,0,0
Trịnh Công Sơn,Nhật Tân,Tây Hồ,Nội thành,Tin thường,39186755,320.0,Thỏa thuận,9.25,,,,8.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Chưa có nội thất,Mặt phố,0,0,0,1,,0,1,0,0,1,0,0,0,0,0,0
Nguyễn Viết Xuân,Quang Trung,Hà Đông,Nội thành,Tin thường,39047046,80.0,Thỏa thuận,5.0,,,Đông - Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,Nhỏ,0,0,0,0,1,0,0,0,0,0,0
Huế,Phố Huế,Hai Bà Trưng,Nội thành,Tin thường,39211446,27.0,Thỏa thuận,4.6,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Cự Khê,Thanh Oai,Ngoại thành,Tin thường,39101682,40.0,Thỏa thuận,4.0,,,,,4.0,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Lê Lợi,Nguyễn Trãi,Hà Đông,Nội thành,Tin thường,39226108,60.0,Thỏa thuận,7.0,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,1,1,0,0,,0,0,0,0,0,0,1,0,0,0,0
,Xuân Đỉnh,Bắc Từ Liêm,Nội thành,Tin thường,38567050,290.0,Thỏa thuận,16.0,15.0,Đông - Nam,Đông - Nam,7.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,1,0,0,0,1,0,1,1,0,0,0
,Tân,Thạch Thất,Ngoại thành,Tin thường,39102707,106.0,Thỏa thuận,5.0,15.0,,Đông - Nam,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,1,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Nguyễn Thanh Bình,Vạn Phúc,Hà Đông,Nội thành,Tin thường,39204784,180.0,Thỏa thuận,10.0,,,,6.0,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
,Hàng Buồm,Hoàn Kiếm,Nội thành,Tin thường,38509109,300.0,Thỏa thuận,10.0,,,,7.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Nguyễn Văn Cừ,Bồ Đề,Long Biên,Nội thành,Tin thường,38458524,65.0,Thỏa thuận,,,,,5.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,1
Mã Mây,Hàng Bạc,Hoàn Kiếm,Nội thành,Tin thường,37730295,150.0,Thỏa thuận,7.5,,,,9.0,35.0,35.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,Rộng,0,0,0,0,0,0,1,0,0,0,0
Hai Bà Trưng,Trần Hưng Đạo,Hoàn Kiếm,Nội thành,Tin thường,38655650,500.0,Thỏa thuận,15.0,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
68B  Hoàng Sâm,Nghĩa Đô,Cầu Giấy,Nội thành,Tin thường,36659497,60.0,Thỏa thuận,5.0,10.0,,,6.0,6.0,6.0,Khác,Khác,Mặt phố,1,1,0,1,,0,0,0,0,1,1,0,0,0,0,0
Nguyễn Công Hoan,Ngọc Khánh,Ba Đình,Nội thành,Tin thường,36709258,170.0,Thỏa thuận,18.0,15.0,,,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,1,0,0,0,1,1,0,0,0,1,0
Nguyễn Thị Định,Trung Hòa,Cầu Giấy,Nội thành,Tin thường,38941056,55.0,Thỏa thuận,,,,,,,,Khác,Khác,Mặt phố,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0
Đa Sỹ,Kiến Hưng,Hà Đông,Nội thành,Tin thường,39082591,50.0,Thỏa thuận,5.0,24.0,,,7.0,6.0,8.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,1,1,0,0,Nhỏ,1,0,1,0,0,1,1,0,1,0,0
Nguyễn Văn Cừ,Bồ Đề,Long Biên,Nội thành,Tin thường,39220857,45.0,Thỏa thuận,5.0,50.0,,,6.0,5.0,5.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,1,0,1,0,,0,0,0,1,1,0,0,0,1,0,0
Lạc Trung,Vĩnh Tuy,Hai Bà Trưng,Nội thành,Tin thường,39091383,50.8,Thỏa thuận,4.0,20.0,Đông - Nam,Đông - Nam,2.0,2.0,2.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Khâm Thiên,Khâm Thiên,Đống Đa,Nội thành,Tin thường,39001332,300.0,Thỏa thuận,9.0,30.0,Tây,Tây,7.0,10.0,8.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Chung cư mini,1,1,1,1,,0,0,0,0,1,0,1,0,0,1,0
Hàng Buồm,Hàng Buồm,Hoàn Kiếm,Nội thành,Tin thường,38178146,292.0,Thỏa thuận,10.0,,,,7.0,39.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,0
Trần Hưng Đạo,Trần Hưng Đạo,Hoàn Kiếm,Nội thành,Tin thường,29667145,400.0,Thỏa thuận,14.0,,,,13.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0
Hàng Dầu,Hàng Bạc,Hoàn Kiếm,Nội thành,Tin thường,37989399,135.0,Thỏa thuận,7.0,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,1,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nguyễn Văn Cừ,Ngọc Lâm,Long Biên,Nội thành,Tin thường,39201221,95.0,Thỏa thuận,,,,,8.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0
,Nghĩa Tân,Cầu Giấy,Nội thành,Tin thường,39179284,300.0,Thỏa thuận,25.0,25.0,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Quang Trung,Quang Trung,Hà Đông,Nội thành,Tin thường,39215210,78.0,Thỏa thuận,4.0,40.0,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Khúc Thừa Dụ,Dịch Vọng,Cầu Giấy,Nội thành,Tin thường,39137992,104.0,Thỏa thuận,6.0,,,,6.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,1,Rộng,1,0,0,0,0,0,0,0,0,0,0
,Hàng Gai,Hoàn Kiếm,Nội thành,Tin thường,37871358,250.0,Thỏa thuận,7.0,15.0,,,8.0,40.0,40.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,1,0,0,0,,0,0,0,0,1,0,1,0,0,0,0
Thanh Yên,Phúc Tân,Hoàn Kiếm,Nội thành,Tin thường,39100328,102.0,Thỏa thuận,,,,,5.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Cổ Linh,Thạch Bàn,Long Biên,Nội thành,Tin thường,39212382,75.0,Thỏa thuận,,,,,,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Khuất Duy Tiến,Thanh Xuân Bắc,Thanh Xuân,Nội thành,Tin thường,39145217,167.0,Thỏa thuận,7.3,,,,5.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0
Yên Phụ,Yên Phụ,Tây Hồ,Nội thành,Tin thường,39192595,60.0,Thỏa thuận,4.0,15.0,,Tây - Bắc,4.0,4.0,4.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,1,0,0,0,,0,1,0,0,1,0,0,0,0,0,0
Vũ Tông Phan,Khương Đình,Thanh Xuân,Nội thành,Tin thường,39223571,320.0,Thỏa thuận,11.0,,,,11.0,11.0,11.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,0
Vạn Phúc,Vạn Phúc,Hà Đông,Nội thành,Tin thường,39162835,78.0,Thỏa thuận,5.0,20.0,,,9.0,6.0,9.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,1,0,1,0,0,0,1,0,1,0,0
Nguyễn Văn Cừ,Ngọc Lâm,Long Biên,Nội thành,Tin thường,38785829,100.0,Thỏa thuận,4.5,40.0,,,5.0,8.0,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,1,0,0,0,0,0,1,0,1,0,1
,Yên Phụ,Tây Hồ,Nội thành,Tin thường,38083804,200.0,Thỏa thuận,,,,,4.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0
Đào Tấn,Cống Vị,Ba Đình,Nội thành,Tin thường,15647593,110.0,Thỏa thuận,6.0,40.0,,,5.0,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,1,0,0,0,0,1,1,0
Thụy Khuê,Thụy Khuê,Tây Hồ,Nội thành,Tin thường,38356230,235.0,Thỏa thuận,11.0,,,,1.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0
82  Chùa Láng,Láng Thượng,Đống Đa,Nội thành,Tin thường,39184120,124.0,Thỏa thuận,5.1,,,,7.0,,,Khác,Khác,Mặt phố,1,0,0,0,,0,0,0,1,0,0,1,1,0,0,0
,Đức Thắng,Bắc Từ Liêm,Nội thành,Tin thường,38676260,31.0,Thỏa thuận,,,,,,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,1
Võ Chí Công,Xuân La,Tây Hồ,Nội thành,Tin thường,37821477,230.0,Thỏa thuận,13.0,,,,9.0,40.0,,Khác,Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Hàng Trống,Hàng Trống,Hoàn Kiếm,Nội thành,Tin thường,28814364,160.0,Thỏa thuận,8.0,,,,12.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,0
Xã Đàn,Kim Liên,Đống Đa,Nội thành,Tin thường,38251859,130.0,Thỏa thuận,7.8,,,,6.0,,,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Full nội thất,Mặt phố,0,0,0,0,,1,0,0,0,0,0,1,0,1,0,0
Quang Trung,Quang Trung,Hà Đông,Nội thành,Tin thường,39178451,40.0,Thỏa thuận,,,,,3.0,3.0,3.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Khác,Mặt phố,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Hoàng Hoa Thám,Ngọc Hà,Ba Đình,Nội thành,Tin thường,38513608,68.0,Thỏa thuận,8.0,12.0,,,1.0,2.0,1.0,"Sổ đỏ, sổ hồng, pháp lý đầy đủ",Nội thất cơ bản,Mặt phố,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Nguyễn Hoàng,Mỹ Đình 1,Nam Từ Liêm,Nội thành,Tin thường,39182006,68.0,Thỏa thuận,,,,,,,,Khác,Khác,Mặt phố,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
